From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
01-08-2021 00:00,02-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
02-08-2021 00:00,03-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
03-08-2021 00:00,04-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
04-08-2021 00:00,05-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
05-08-2021 00:00,06-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
06-08-2021 00:00,07-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
07-08-2021 00:00,08-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
08-08-2021 00:00,09-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
09-08-2021 00:00,10-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
10-08-2021 00:00,11-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
11-08-2021 00:00,12-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
12-08-2021 00:00,13-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
13-08-2021 00:00,14-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
14-08-2021 00:00,15-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
15-08-2021 00:00,16-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
16-08-2021 00:00,17-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
17-08-2021 00:00,18-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
18-08-2021 00:00,19-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
19-08-2021 00:00,20-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
20-08-2021 00:00,21-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
21-08-2021 00:00,22-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
22-08-2021 00:00,23-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
23-08-2021 00:00,24-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
24-08-2021 00:00,25-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
25-08-2021 00:00,26-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
26-08-2021 00:00,27-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
27-08-2021 00:00,28-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
28-08-2021 00:00,29-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
29-08-2021 00:00,30-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
30-08-2021 00:00,31-08-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
31-08-2021 00:00,01-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
01-09-2021 00:00,02-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
02-09-2021 00:00,03-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
03-09-2021 00:00,04-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
04-09-2021 00:00,05-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
05-09-2021 00:00,06-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
06-09-2021 00:00,07-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
07-09-2021 00:00,08-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
08-09-2021 00:00,09-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
09-09-2021 00:00,10-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
10-09-2021 00:00,11-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
11-09-2021 00:00,12-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
12-09-2021 00:00,13-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
13-09-2021 00:00,14-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
14-09-2021 00:00,15-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
15-09-2021 00:00,16-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
16-09-2021 00:00,17-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
17-09-2021 00:00,18-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
18-09-2021 00:00,19-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
19-09-2021 00:00,20-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
20-09-2021 00:00,21-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
21-09-2021 00:00,22-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
22-09-2021 00:00,23-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
23-09-2021 00:00,24-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
24-09-2021 00:00,25-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
25-09-2021 00:00,26-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
26-09-2021 00:00,27-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
27-09-2021 00:00,28-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
28-09-2021 00:00,29-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
29-09-2021 00:00,30-09-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
30-09-2021 00:00,01-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
01-10-2021 00:00,02-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
02-10-2021 00:00,03-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
03-10-2021 00:00,04-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
04-10-2021 00:00,05-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
05-10-2021 00:00,06-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
06-10-2021 00:00,07-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
07-10-2021 00:00,08-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
08-10-2021 00:00,09-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
09-10-2021 00:00,10-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
10-10-2021 00:00,11-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
11-10-2021 00:00,12-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
12-10-2021 00:00,13-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
13-10-2021 00:00,14-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
14-10-2021 00:00,15-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
15-10-2021 00:00,16-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
16-10-2021 00:00,17-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
17-10-2021 00:00,18-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
18-10-2021 00:00,19-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
19-10-2021 00:00,20-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
20-10-2021 00:00,21-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
21-10-2021 00:00,22-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
22-10-2021 00:00,23-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
23-10-2021 00:00,24-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
24-10-2021 00:00,25-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
25-10-2021 00:00,26-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
26-10-2021 00:00,27-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
27-10-2021 00:00,28-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
28-10-2021 00:00,29-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
29-10-2021 00:00,30-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
30-10-2021 00:00,31-10-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
31-10-2021 00:00,01-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
01-11-2021 00:00,02-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
02-11-2021 00:00,03-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
03-11-2021 00:00,04-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
04-11-2021 00:00,05-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
05-11-2021 00:00,06-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
06-11-2021 00:00,07-11-2021 00:00,,,,,,,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB"
